"id","price_pred"
1,537.2357333333
4,481.7644666667
7,528.8831666667
8,401.4554
10,394.8839333333
11,388.5877
12,511.7054333333
16,726.1462
17,384.0842333333
20,426.4491333333
22,379.1882333333
25,449.6301333333
26,468.0939
37,416.2204666667
39,449.9964333333
40,452.2378333333
42,462.2897666667
43,456.8553333333
45,415.3577
48,476.6797666667
52,486.5578666667
55,382.0433333333
56,394.8305333333
58,404.6886666667
63,528.1477666667
66,601.4290666667
71,492.8358666667
77,590.0259333333
80,586.68
88,524.5790333333
90,506.7335
91,2746.5755666667
93,2536.7759
98,2739.5412666667
107,2764.5855
108,2613.2888
110,2651.8213333333
113,3475.028
115,2785.5430666667
118,2909.4200666667
120,2739.2840333333
123,2680.7777333333
127,3049.9360666667
129,3291.0402666667
135,2872.7604333333
139,2898.2602
140,3231.9753333333
142,2702.9327666667
143,2960.6229
146,2536.7107666667
147,2501.3819333333
148,2797.3022666667
150,2705.7445
151,2296.1240333333
153,2863.9613333333
154,2615.0082
157,2648.5068666667
158,2679.9666
159,2801.7428333333
160,2488.6997666667
161,2774.8783666667
162,2986.6683333333
167,2772.5584
171,2663.8999666667
175,2780.5758
180,2707.3360333333
181,2614.5732666667
185,2674.5846333333
187,3285.0032333333
193,2721.6620333333
195,2671.0828333333
201,2505.2579333333
203,2685.2930666667
206,2778.5363666667
215,3098.0913
216,3299.1181666667
219,2463.481
220,2288.1126
222,2887.1339
223,2793.6197666667
230,2585.7083333333
232,2973.6527666667
236,2789.5790666667
237,2984.7817666667
243,3674.8298
246,2952.5854
252,2426.5601666667
262,2976.1585666667
265,2642.1457333333
273,2619.9132333333
276,3044.5575
279,2855.3720666667
284,2465.1962333333
286,2670.5795666667
292,2434.5672333333
296,3133.2956333333
305,2594.0924666667
307,3060.7961
308,3348.0948666667
309,3292.7466
314,2766.5113666667
316,3851.0470666667
327,2637.2757333333
339,2596.2175333333
343,2862.6156333333
346,2606.3529666667
348,2932.3566333333
350,2650.8154333333
351,2981.8479
353,2533.3836333333
363,3144.8063
365,3049.8189
367,3282.8108333333
369,3010.0115666667
370,2409.0625666667
373,2653.3925333333
374,2837.5680666667
375,2539.0921333333
377,3965.3322333333
378,2803.1335333333
